iter	Logloss
0	0.6574382972
1	0.6282304973
2	0.6045893392
3	0.5855475292
4	0.5690834195
5	0.5560137587
6	0.5446875865
7	0.5350277656
8	0.5271860219
9	0.5202292514
10	0.5145444288
11	0.5097304926
12	0.5057231905
13	0.5024633209
14	0.4996732334
15	0.4974063679
16	0.4953110071
17	0.4934605803
18	0.4919681089
19	0.4907575168
20	0.4898361704
21	0.4883273822
22	0.4871289068
23	0.486248964
24	0.4854127244
25	0.4845995138
26	0.4839620374
27	0.4834353356
28	0.4831008946
29	0.4824713077
30	0.4820396041
31	0.4813928057
32	0.4809312397
33	0.4805574619
34	0.4801500046
35	0.4800539197
36	0.4797947813
37	0.4796973935
38	0.4793726044
39	0.4791931607
40	0.4789615504
41	0.4786461606
42	0.4782911672
43	0.4781220905
44	0.4778843853
45	0.477801845
46	0.477527993
47	0.477358289
48	0.4770774768
49	0.4769423355
50	0.4766952764
51	0.4764915116
52	0.476287199
53	0.4760732169
54	0.4759110153
55	0.4757600922
56	0.4756046665
57	0.4754384928
58	0.4753613266
59	0.4753008041
60	0.4752629152
61	0.4751080971
62	0.4750318575
63	0.4749862974
64	0.4749463756
65	0.4749078658
66	0.4748443305
67	0.4747860769
68	0.4746948493
69	0.4746206313
70	0.4745494918
71	0.4745020959
72	0.4739483935
73	0.4738276243
74	0.4737369482
75	0.4736913774
76	0.473633201
77	0.4735791422
78	0.4735275122
79	0.4733565927
80	0.4733257859
81	0.4732317709
82	0.4731404793
83	0.4730995696
84	0.4730559908
85	0.4730429581
86	0.4730308694
87	0.472946559
88	0.4728972759
89	0.4728439059
90	0.472813614
91	0.4727462176
92	0.4726815284
93	0.472630357
94	0.4726038681
95	0.4725306346
96	0.4725013773
97	0.4724808161
98	0.4724282936
99	0.4723837832
