iter	Passed	Remaining
0	1	156
1	2	143
2	3	125
3	4	116
4	5	109
5	6	105
6	7	103
7	8	101
8	9	99
9	10	98
10	11	97
11	13	97
12	14	96
13	15	95
14	16	93
15	17	92
16	18	90
17	19	88
18	20	87
19	21	85
20	22	84
21	23	83
22	24	82
23	25	80
24	26	79
25	27	77
26	28	76
27	29	75
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	44
56	58	43
57	59	42
58	60	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
